iri,baseIri,instances,label/IRI-based,label/undefined,attributes/0,id,superClasses/0,pos/0,pos/1,subClasses/0,subClasses/1,subClasses/2,subClasses/3,subClasses/4,subClasses/5,subClasses/6,subClasses/7,subClasses/8,union/0,union/1,attributes/1
http://www.hozo.jp/rdf/startuplife.xml#bank,http://www.hozo.jp/rdf/startuplife.xml,0,bank,bank,external,0,1,1558.8954347860977,1684.8182199993144,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Make_fire_insurance_contract,http://www.hozo.jp/rdf/startuplife.xml,0,Make_fire_insurance_contract,Make fire insurance contract,external,2,3,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Transportaion,http://www.hozo.jp/rdf/startuplife.xml,0,Transportaion,Transportaion,external,4,5,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Go_to_phone_shop,http://www.hozo.jp/rdf/startuplife.xml,0,Go_to_phone_shop,Go to phone shop,external,6,7,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#app,http://www.hozo.jp/rdf/startuplife.xml,0,app,app,external,8,9,585.787144776228,699.2759658307812,10,11,12,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Job_hunting_activity,http://www.hozo.jp/rdf/startuplife.xml,0,Job_hunting_activity,Job hunting activity,external,13,14,1982.9834368448417,763.7967293686893,15,16,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Activity,http://www.hozo.jp/rdf/startuplife.xml,0,Activity,Activity,external,14,17,1513.7188360698137,673.6102757940544,18,3,7,19,13,20,21,22,23,,,
http://www.hozo.jp/rdf/startuplife.xml#Entertainment,http://www.hozo.jp/rdf/startuplife.xml,0,Entertainment,Entertainment,external,24,5,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Get_visa,http://www.hozo.jp/rdf/startuplife.xml,0,Get_visa,Get visa,external,25,26,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Apply_for_official_certification,http://www.hozo.jp/rdf/startuplife.xml,0,Apply_for_official_certification,Apply for official certification,external,26,23,534.3262610093589,148.72842072572496,25,,,,,,,,,,,
