id,type
27,rdfs:SubClassOf
30,rdfs:SubClassOf
33,rdfs:SubClassOf
35,rdfs:SubClassOf
38,rdfs:SubClassOf
40,rdfs:SubClassOf
42,rdfs:SubClassOf
44,rdfs:SubClassOf
46,rdfs:SubClassOf
48,rdfs:SubClassOf
50,owl:objectProperty
51,owl:objectProperty
57,rdfs:SubClassOf
59,rdfs:SubClassOf
61,rdfs:SubClassOf
63,rdfs:SubClassOf
72,owl:objectProperty
76,owl:objectProperty
77,owl:objectProperty
90,owl:objectProperty
92,owl:objectProperty
97,owl:objectProperty
102,owl:objectProperty
111,owl:objectProperty
112,rdfs:SubClassOf
113,owl:objectProperty
115,owl:objectProperty
116,rdfs:SubClassOf
117,rdfs:SubClassOf
120,rdfs:SubClassOf
125,rdfs:SubClassOf
126,rdfs:SubClassOf
127,rdfs:SubClassOf
128,rdfs:SubClassOf
129,rdfs:SubClassOf
130,rdfs:SubClassOf
131,rdfs:SubClassOf
133,owl:objectProperty
134,rdfs:SubClassOf
135,rdfs:SubClassOf
136,rdfs:SubClassOf
137,rdfs:SubClassOf
138,rdfs:SubClassOf
139,rdfs:SubClassOf
140,rdfs:SubClassOf
141,rdfs:SubClassOf
142,rdfs:SubClassOf
143,rdfs:SubClassOf
148,rdfs:SubClassOf
149,rdfs:SubClassOf
151,rdfs:SubClassOf
153,rdfs:SubClassOf
154,rdfs:SubClassOf
155,rdfs:SubClassOf
156,rdfs:SubClassOf
157,rdfs:SubClassOf
158,rdfs:SubClassOf
159,rdfs:SubClassOf
160,rdfs:SubClassOf
162,rdfs:SubClassOf
163,rdfs:SubClassOf
164,owl:objectProperty
168,rdfs:SubClassOf
169,rdfs:SubClassOf
170,rdfs:SubClassOf
171,rdfs:SubClassOf
172,rdfs:SubClassOf
173,rdfs:SubClassOf
174,rdfs:SubClassOf
175,rdfs:SubClassOf
176,rdfs:SubClassOf
177,rdfs:SubClassOf
178,rdfs:SubClassOf
179,rdfs:SubClassOf
180,rdfs:SubClassOf
181,rdfs:SubClassOf
183,rdfs:SubClassOf
184,rdfs:SubClassOf
185,rdfs:SubClassOf
187,rdfs:SubClassOf
189,rdfs:SubClassOf
190,rdfs:SubClassOf
192,rdfs:SubClassOf
193,rdfs:SubClassOf
194,rdfs:SubClassOf
195,rdfs:SubClassOf
196,owl:objectProperty
198,rdfs:SubClassOf
199,rdfs:SubClassOf
201,owl:objectProperty
202,rdfs:SubClassOf
203,rdfs:SubClassOf
204,rdfs:SubClassOf
205,rdfs:SubClassOf
206,rdfs:SubClassOf
207,rdfs:SubClassOf
208,rdfs:SubClassOf
209,rdfs:SubClassOf
210,rdfs:SubClassOf
211,rdfs:SubClassOf
212,rdfs:SubClassOf
213,rdfs:SubClassOf
215,rdfs:SubClassOf
216,rdfs:SubClassOf
217,rdfs:SubClassOf
218,rdfs:SubClassOf
219,owl:objectProperty
220,rdfs:SubClassOf
221,rdfs:SubClassOf
222,rdfs:SubClassOf
223,owl:objectProperty
224,rdfs:SubClassOf
225,rdfs:SubClassOf
226,owl:objectProperty
227,rdfs:SubClassOf
228,rdfs:SubClassOf
229,rdfs:SubClassOf
230,rdfs:SubClassOf
231,rdfs:SubClassOf
232,rdfs:SubClassOf
233,rdfs:SubClassOf
234,rdfs:SubClassOf
235,owl:objectProperty
236,owl:objectProperty
237,rdfs:SubClassOf
238,owl:objectProperty
239,rdfs:SubClassOf
240,rdfs:SubClassOf
241,rdfs:SubClassOf
242,rdfs:SubClassOf
