range,domain,attributes/0,attributes/1,id,pos/0,pos/1,iri,baseIri,label/IRI-based,label/undefined
29,28,anonymous,object,27,1924.7895269607754,-17.291415611930674,,,,
32,31,anonymous,object,30,,,,,,
32,34,anonymous,object,33,,,,,,
37,36,anonymous,object,35,,,,,,
37,39,anonymous,object,38,,,,,,
29,41,anonymous,object,40,,,,,,
29,43,anonymous,object,42,1970.3533129005355,69.08563263868031,,,,
29,45,anonymous,object,44,,,,,,
29,47,anonymous,object,46,1928.8153607072186,-325.8260548341541,,,,
29,49,anonymous,object,48,1979.4294125007623,-326.5375658456778,,,,
14,43,external,object,50,1695.4656033707258,475.5169506745504,http://www.hozo.jp/rdf/has_previous,http://www.hozo.jp/rdf,has_previous,has_previous
9,52,external,object,51,1148.497567774203,969.5736122099595,http://www.hozo.jp/rdf/has_belongs,http://www.hozo.jp/rdf,has_belongs,has_belongs
1,58,anonymous,object,57,,,,,,
1,60,anonymous,object,59,1145.00925673497,1693.710227288659,,,,
20,62,anonymous,object,61,1237.1512184471746,-101.43473174916447,,,,
20,64,anonymous,object,63,,,,,,
9,14,external,object,72,1201.7722996772186,800.1802614503915,http://www.hozo.jp/rdf/has_require,http://www.hozo.jp/rdf,has_require,has_require
5,14,external,object,76,1544.8993929996836,909.0549837148237,http://www.hozo.jp/rdf/has_enjoy,http://www.hozo.jp/rdf,has_enjoy,has_enjoy
9,14,external,object,77,1222.1115245962676,825.0835484202809,http://www.hozo.jp/rdf/has_result,http://www.hozo.jp/rdf,has_result,has_result
66,52,external,object,90,1536.700515883612,973.8330011767982,http://www.hozo.jp/rdf/has_have_context,http://www.hozo.jp/rdf,has_have_context,has_have context
14,43,external,object,92,1728.9158050709566,503.55399482553673,http://www.hozo.jp/rdf/has_next,http://www.hozo.jp/rdf,has_next,has_next
69,1,external,object,97,1314.8781871511776,1366.8430317486564,http://www.hozo.jp/rdf/has_location_at,http://www.hozo.jp/rdf,has_location_at,has_location at
5,1,external,object,102,1390.0205881562908,1323.054159979278,http://www.hozo.jp/rdf/has_provide,http://www.hozo.jp/rdf,has_provide,has_provide
68,14,external,object,111,1321.7431957928625,542.2592359105803,http://www.hozo.jp/rdf/has_how_to_achieve,http://www.hozo.jp/rdf,has_how_to_achieve,has_how to achieve
19,53,anonymous,object,112,2376.3187433010535,829.1538454448889,,,,
17,114,external,object,113,1292.9906165021766,279.3970853333717,http://www.hozo.jp/rdf/has_role,http://www.hozo.jp/rdf,has_role,has_role
17,28,external,object,115,1630.6479440592793,288.02224515382557,http://www.hozo.jp/rdf/has_larger,http://www.hozo.jp/rdf,has_larger,has_larger
26,25,anonymous,object,116,,,,,,
75,118,anonymous,object,117,,,,,,
5,121,anonymous,object,120,,,,,,
5,24,anonymous,object,125,,,,,,
75,74,anonymous,object,126,,,,,,
75,84,anonymous,object,127,,,,,,
5,4,anonymous,object,128,,,,,,
5,124,anonymous,object,129,,,,,,
5,73,anonymous,object,130,,,,,,
5,107,anonymous,object,131,1722.1856251729682,1312.7999204222092,,,,
14,66,external,object,133,1618.8458170745848,827.4009191293861,http://www.hozo.jp/rdf/has_in_activity,http://www.hozo.jp/rdf,has_in_activity,has_in activity
14,23,anonymous,object,134,1223.9043757719683,487.54475034557174,,,,
14,22,anonymous,object,135,1737.1924506193754,583.7846833303408,,,,
5,123,anonymous,object,136,,,,,,
14,13,anonymous,object,137,1748.3511364573278,718.7035025813718,,,,
14,19,anonymous,object,138,1843.3621149936612,753.4930687662446,,,,
